Country,State,Year,Ministry Or Department Name,Direct Benefit Transfer (Dbt) Scheme Name,Direct Benefit Transfer (Dbt) Scheme Benefit Type,Direct Benefit Transfer (Dbt) Fund Transferred (UOM:INR(IndianRupees))
India,Assam,"Financial Year (Apr - Mar), 2019",Department of Empowerment of Persons with Disabilities,National Fellowship for Students with Disabilities,Cash,4666513
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",Ministry of Women and Child Development,Mahila Shakti Kendra Scheme,Cash,262500
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",Department of Rural Development,Pradhan Mantri Awas Yojna Grameen,Cash,36556739000
India,Delhi,"Financial Year (Apr - Mar), 2019",Department of Rural Development ,Indira Gandhi National Disability Pension Scheme-IGNDPS,Cash,77252000
India,Goa,"Financial Year (Apr - Mar), 2018",Department of Higher Education,P.G. Scholarship for GATE/GPAT qualified students for pursuing M.Tech/ M.E./M.Pharma- UGC,Cash,6674800
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Ministry of AYUSH,Scheme for Extra Mural Research in AYUSH,Cash,373000
India,Bihar,"Financial Year (Apr - Mar), 2019",Department of Drinking Water and Sanitation,Swachh Bharat Mission Gramin,Cash and In Kind,17660815404
India,Bihar,"Financial Year (Apr - Mar), 2019",Ministry of Labour and Employment,Employees Pension Scheme for EPF Pensioners,Cash,295089358
India,Chandigarh,"Financial Year (Apr - Mar), 2018",Department of Higher Education,QIP for faculty deputed for M.Tech/ Ph.D studies at QIP Centers,Cash,1929000
India,Delhi,"Financial Year (Apr - Mar), 2018",Department of Higher Education,Prime Minster's Special Scholarship Scheme For Jammu And Kashmir Students,Cash,9103721
India,Bihar,"Financial Year (Apr - Mar), 2018",Ministry of Housing and Urban Affairs,SWACHH BHARAT MISSION URBAN,Cash,3124500
India,Goa,"Financial Year (Apr - Mar), 2018",Ministry of Minority Affairs,Post-Matric Scholarship for Minorities,Cash,955655
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Department of Science and Technology,Alliance and R and D Mission - INSPIRE Fellowship,Cash,7508532
India,Bihar,"Financial Year (Apr - Mar), 2018",Department of Rural Development,Indira Gandhi National Old Age Pension Scheme- IGNOAPS,Cash,22521515800
India,Assam,"Financial Year (Apr - Mar), 2019",Department of Health Research,ICMR-Post Doctoral Fellowship,Cash,900000
India,Delhi,"Financial Year (Apr - Mar), 2018",Department of Higher Education,P.G. Scholarship For GATE/GPAT Qualified Students For Pursuing M.Tech/ M.E./M.Pharma - AICTE,Cash,164887946
India,Goa,"Financial Year (Apr - Mar), 2019",Department of Commerce,MPEDA,Cash,4015767
India,Delhi,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Ishan Uday Special Scholarship Scheme for North Eastern Region,Cash,3470249
India,Bihar,"Financial Year (Apr - Mar), 2018",Department of Higher Education,Pragati Scholarship for girls Diploma Institutes,Cash,380960
India,Chandigarh,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Post-Doctoral Fellowship for SC/ST Candidates,Cash,2365739
India,Chhattisgarh,"Financial Year (Apr - Mar), 2016",Deparment of Rural Development,MGNREGA,Cash,19405058302
India,Goa,"Financial Year (Apr - Mar), 2019",Department of Food and Public Distribution,DBT Kind - PDS operations in 34 states and UTs,In Kind,955887272.17
India,Delhi,"Financial Year (Apr - Mar), 2019",Department of Social Justice and Empowerment,Central Sector Scheme of National Fellowship for providing scholarships to Scheduled Caste students to pursue programmes in Higher Education such as M.Phil. and Ph.D.,Cash,115689405
India,Bihar,"Financial Year (Apr - Mar), 2019",Department of Fertilizers,Fertilizer Subsidy Scheme,In Kind,25701831945
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019","Department of Agriculture, Cooperation and Farmers Welfare",Mission for Integrated Development of Horticulture,Cash,344499308
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",Department of Agricultural Research and Education,AgEdn - National Talent Scholarship PG,Cash,87000
India,Chhattisgarh,"Financial Year (Apr - Mar), 2017",Department of Youth Affairs,NATIONAL YOUTH CORPS,Cash,1227831
India,Delhi,"Financial Year (Apr - Mar), 2019",Department of Social Justice and Empowerment,Central Sector Scheme Of Top Class Education For SC Students,Cash,1089620
India,Delhi,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Central Sector Scheme of Scholarship for College and University Students,Cash,3240000
India,Bihar,"Financial Year (Apr - Mar), 2017",Department of Social Justice and Empowerment,Centrally Sponsored Scheme Of Post Matric Scholarships To The Students Belonging To Scheduled Castes For Studies In India,Cash,993101600
India,Goa,"Financial Year (Apr - Mar), 2019",Department of Empowerment of Persons with Disabilities,Pre-matric scholarship for Persons with disabilities,Cash,80000
India,Bihar,"Financial Year (Apr - Mar), 2018",Department of Youth Affairs,YOUTH HOSTELS,Cash,126000
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (AB-PMJAY),In Kind,5538784349
India,Chandigarh,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,ASHA incentives,Cash,326800
India,Assam,"Financial Year (Apr - Mar), 2019",Ministry of Minority Affairs,Pre- Matric Scholarship for Minorities,Cash,1576630886
India,Delhi,"Financial Year (Apr - Mar), 2019",Department of Rural Development ,Indira Gandhi National Old Age Pension Scheme- IGNOAPS,Cash,1359695700
India,Bihar,"Financial Year (Apr - Mar), 2019",Department of Science and Technology,Alliance and R and D Mission - INSPIRE Fellowship,Cash,11540876
India,Delhi,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,Family Planning Compensation schemes,Cash,5268990
India,Bihar,"Financial Year (Apr - Mar), 2016",Deparment of Rural Development,MGNREGA,Cash,14422399626
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Ministry of New and Renewable Energy,Short Term Training Programme component of HRD Programme,In Kind,4400002
India,Assam,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Post Doctoral Fellowship for Women,Cash,1454439
India,Assam,"Financial Year (Apr - Mar), 2019",Department of Science and Technology,Alliance and R and D Mission - INSPIRE Fellowship,Cash,67903801
India,Chhattisgarh,"Financial Year (Apr - Mar), 2017",Ministry of Women and Child Development,Umbrella ICDS-Anganwadi Services- Honorarium To AWW And AWH,Cash,308669000
India,Assam,"Financial Year (Apr - Mar), 2019",Ministry of Labour and Employment,Employees Pension Scheme for EPF Members,Cash,340028164
India,Delhi,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,NIKSHAY - TB patient incentive for nutritional support,Cash and In Kind,99505500
India,Chandigarh,"Financial Year (Apr - Mar), 2016",Ministry of Petroleum and Natural Gas,PAHAL,Cash,257910000
India,Bihar,"Financial Year (Apr - Mar), 2017",Department of Health and Family Welfare,Family Planning Compensation schemes,Cash,89202475
India,Bihar,"Financial Year (Apr - Mar), 2019",Ministry of Petroleum and Natural Gas,PAHAL,Cash,19603500000
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,NIKSHAY - TB patient incentive for nutritional support,Cash and In Kind,20533000
India,Assam,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,NIKSHAY - TB Notification incentive for Private Sector,Cash,358000
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",Department of Ex-Servicemen Welfare,Raksha Mantri Ex-servicemen Welfare Fund (RMEWF),Cash,3420000
India,Bihar,"Financial Year (Apr - Mar), 2018",Department of Agricultural Research and Education,AgEdn - National Talent Scholarship PG,Cash,4733199
India,Bihar,"Financial Year (Apr - Mar), 2019","Department of Agriculture, Cooperation and Farmers Welfare",Sub Mission on Agriculture Mechanization-Central Sector,Cash and In Kind,63722
India,Goa,"Financial Year (Apr - Mar), 2018",Department of Youth Affairs,YOUTH HOSTELS,Cash,258000
India,Goa,"Financial Year (Apr - Mar), 2018",Department of Higher Education,Pragati Scholarship for girls in Degree Colleges,Cash,50000
India,Bihar,"Financial Year (Apr - Mar), 2019","Ministry of Micro, Small and Medium Enterprises",ATI Scheme (Training Component),In Kind,2823440
India,Assam,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (AB-PMJAY),In Kind,1113782668
India,Delhi,"Financial Year (Apr - Mar), 2018",Department of Higher Education,Saksham scholarship for differently abled students of Degree Colleges,Cash,88800
India,Bihar,"Financial Year (Apr - Mar), 2019",Ministry of Skill Development and Entrepreneurship,Pradhan Mantri Kaushal Vikas Yojana (2016-20),Cash and In Kind,872067125
India,Delhi,"Financial Year (Apr - Mar), 2019",Ministry of Labour and Employment,Employees Pension Scheme for EPF Pensioners,Cash,109722824
India,Chandigarh,"Financial Year (Apr - Mar), 2019",Ministry of Home Affairs (excluding Dep of Official Languages and Dept of Inter State Council Sect),Prime Minister scholarship scheme,Cash,441000
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Prime Minster's Special Scholarship Scheme For Jammu And Kashmir Students,Cash,6153397
India,Assam,"Financial Year (Apr - Mar), 2018",Ministry of Railways,Prime Minister's Scholarship Scheme for Railway Protection Force (RPF),Cash,27000
India,Chandigarh,"Financial Year (Apr - Mar), 2019",Department of Higher Education,BSR Fellowship,Cash,29541441
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",Ministry of Minority Affairs,Post-Matric Scholarship for Minorities,Cash,13069268
India,Delhi,"Financial Year (Apr - Mar), 2019","Ministry of Micro, Small and Medium Enterprises",IC Schemes,Cash,29089542
India,Delhi,"Financial Year (Apr - Mar), 2019",Department of Science and Technology,Alliance and R and D Mission - INSPIRE Fellowship,Cash,128566858
India,Bihar,"Financial Year (Apr - Mar), 2018",Ministry of Labour and Employment,"Financial Assistance for Education for the Wards of Beedi, Cine, IOMC, LSDM Workers",Cash,1809750
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Department of Youth Affairs,National Youth Corps,Cash,11116488
India,Delhi,"Financial Year (Apr - Mar), 2017",Ministry of Petroleum and Natural Gas,PAHAL,Cash,6260420000
India,Chandigarh,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (AB-PMJAY),In Kind,29137414
India,Delhi,"Financial Year (Apr - Mar), 2017",Ministry of Women and Child Development,Pradhan Mantri Matru Vandana Yojana,Cash,172559000
India,Goa,"Financial Year (Apr - Mar), 2017",Department of Empowerment of Persons with Disabilities,Pre-matric scholarship for Persons with disabilities,Cash,8500
India,Delhi,"Financial Year (Apr - Mar), 2018",Department of Empowerment of Persons with Disabilities,Post-matric Scholarship for Persons with Disabilities,Cash,117940
India,Bihar,"Financial Year (Apr - Mar), 2018",Department of Empowerment of Persons with Disabilities,Pre-matric scholarship for Persons with disabilities,Cash,67000
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Ministry of Housing and Urban Affairs,Swachh Bharat Mission Urban,Cash,93400
India,Goa,"Financial Year (Apr - Mar), 2017",Department of Health and Family Welfare,Family Planning Compensation schemes,Cash,118720
India,Goa,"Financial Year (Apr - Mar), 2018",Department of Rural Development,Pradhan Mantri Awas Yojna Grameen,Cash,5980000
India,Bihar,"Financial Year (Apr - Mar), 2019",Department of Agricultural Research and Education,AgEdn - India-Africa Fellowship,Cash,118387
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019","Department of Agriculture, Cooperation and Farmers Welfare",Agriculture Technology Management Agency (ATMA)- Farmers,Cash and In Kind,75895000
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",Department of Empowerment of Persons with Disabilities,Pre-matric scholarship for Persons with disabilities,Cash,46800
India,Bihar,"Financial Year (Apr - Mar), 2018",Department of Empowerment of Persons with Disabilities,Post-matric Scholarship for Persons with Disabilities,Cash,543047
India,Delhi,"Financial Year (Apr - Mar), 2019",Ministry of Women and Child Development,Pradhan Mantri Matru Vandana Yojana,Cash,354781000
India,Chandigarh,"Financial Year (Apr - Mar), 2019",Ministry of AYUSH,Rashtriya Ayurveda Vidyapeeth,Cash,428428
India,Bihar,"Financial Year (Apr - Mar), 2018",Department of Youth Affairs,NATIONAL YOUTH CORPS,Cash,21395838
India,Bihar,"Financial Year (Apr - Mar), 2017","Ministry of Micro, Small and Medium Enterprises",ATI Scheme (Training Component),In Kind,2194320
India,Assam,"Financial Year (Apr - Mar), 2019",Ministry of Culture,Cultural Function and Production Grant,Cash,2013999
India,Assam,"Financial Year (Apr - Mar), 2019",Ministry of Housing and Urban Affairs,Credit Link Subsidy Scheme (CLSS),Cash,112435153
India,Delhi,"Financial Year (Apr - Mar), 2019",Department of Youth Affairs,NPYAD-National Youth Awards,Cash,20000
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Department of Rural Development ,Mahatma Gandhi NREGA,Cash,22940006752
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Department of Health Research,ICMR-Short Term Studentship,Cash,240000
India,Delhi,"Financial Year (Apr - Mar), 2019","Ministry of Micro, Small and Medium Enterprises",Lean Manufacturing Competitiveness Scheme for MSMEs,In Kind,427200
India,Delhi,"Financial Year (Apr - Mar), 2018",Department of Ex-Servicemen Welfare,Raksha Mantri Ex-servicemen Welfare Fund (RMEWF),Cash,1145000
India,Assam,"Financial Year (Apr - Mar), 2019",Department of Higher Education,P.G. Scholarship for University Rank Holders,Cash,41000
India,Delhi,"Financial Year (Apr - Mar), 2017",Ministry of External Affairs,Publications,Cash,61258
India,Bihar,"Financial Year (Apr - Mar), 2017",Department of Rural Development,Mahatma Gandhi NREGA,Cash,16741900072
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Department of Financial Services,Life Insurance linked with PMJDY,Cash,1500000
India,Delhi,"Financial Year (Apr - Mar), 2018",Department of Health and Family Welfare,NIKSHAY - TB patient incentive for nutritional support,Cash and In Kind,27070500
India,Bihar,"Financial Year (Apr - Mar), 2019",Ministry of Home Affairs (excluding Dep of Official Languages and Dept of Inter State Council Sect),Prime Minister scholarship scheme,Cash,8208000
India,Bihar,"Financial Year (Apr - Mar), 2019",Department of Health Research,ICMR-Post Doctoral Fellowship,Cash,1020000
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Department of Rural Development ,National Family Benefit Scheme,Cash,72220000
India,Assam,"Financial Year (Apr - Mar), 2019",Department of Youth Affairs,National Youth Corps,Cash,21279251
India,Delhi,"Financial Year (Apr - Mar), 2019",Ministry of Labour and Employment,Employees Pension Scheme for EPF Members,Cash,4493982161
India,Assam,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Swami Vivekananda Single Girl Child Fellowship for Research in Social Sciences,Cash,1934180
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",Department of Rural Development,National Family Benefit Scheme,Cash,16240000
India,Bihar,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,ASHA incentives,Cash,1221813985
India,Chandigarh,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,Janani suraksha yojana,Cash,343200
India,Delhi,"Financial Year (Apr - Mar), 2017",Ministry of Minority Affairs,Post-Matric Scholarship for Minorities,Cash,19507370
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Department of Rural Development ,Indira Gandhi National Disability Pension Scheme-IGNDPS,Cash,125860300
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,NIKSHAY - Tribal TB Patients,Cash,4994250
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",Department of Rural Development,Mahatma Gandhi NREGA,Cash,23333797213
India,Chandigarh,"Financial Year (Apr - Mar), 2019",Department of Health Research,ICMR-Junior Research Fellowship,Cash,3070599
India,Delhi,"Financial Year (Apr - Mar), 2019",Ministry of Culture,Financial Assistance for the Development of Buddhist/Tibetan Arts and Culture,Cash,1000000
India,Bihar,"Financial Year (Apr - Mar), 2018",Department of Fertilizers,Fertilizer Subsidy Scheme,In Kind,22572887895
India,Chandigarh,"Financial Year (Apr - Mar), 2019",Ministry of Minority Affairs,Pre- Matric Scholarship for Minorities,Cash,1536449
India,Assam,"Financial Year (Apr - Mar), 2019",Department of Financial Services,Life Insurance linked with PMJDY,Cash,300000
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",Department of Youth Affairs,NATIONAL YOUTH CORPS,Cash,3893458
India,Chandigarh,"Financial Year (Apr - Mar), 2018",Ministry of Housing and Urban Affairs,CREDIT LINK SUBSIDY SCHEME (CLSS),Cash,30695294
India,Chandigarh,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Prime Minster's Special Scholarship Scheme For Jammu And Kashmir Students,Cash,15905307
India,Delhi,"Financial Year (Apr - Mar), 2019",Ministry of Textiles,Powerloom Group Workshed Scheme,Cash and In Kind,2684880
India,Assam,"Financial Year (Apr - Mar), 2019",Department of Social Justice and Empowerment,Central Sector Scheme of National Fellowship for OBC Students,Cash,33042150
India,Delhi,"Financial Year (Apr - Mar), 2019",Ministry of Housing and Urban Affairs,Credit Link Subsidy Scheme (CLSS),Cash,1641088481
India,Delhi,"Financial Year (Apr - Mar), 2019",Department of Promotion of Industry and Internal Trade,Primary Skill Development programme under IFLADP,Cash,20656500
India,Chhattisgarh,"Financial Year (Apr - Mar), 2017",Department of Health and Family Welfare,ASHA incentives,Cash,351616756
India,Chhattisgarh,"Financial Year (Apr - Mar), 2017",Department of Empowerment of Persons with Disabilities,Pre-matric scholarship for Persons with disabilities,Cash,802700
India,Chandigarh,"Financial Year (Apr - Mar), 2018",Department of Higher Education,Prime Minster's Special Scholarship Scheme For Jammu And Kashmir Students,Cash,3188840
India,Assam,"Financial Year (Apr - Mar), 2018",Ministry of Housing and Urban Affairs,CREDIT LINK SUBSIDY SCHEME (CLSS),Cash,59305714
India,Delhi,"Financial Year (Apr - Mar), 2019",Department of Higher Education,P.G. Scholarship For GATE/GPAT Qualified Students For Pursuing M.Tech/ M.E./M.Pharma - AICTE,Cash,214592358
India,Chhattisgarh,"Financial Year (Apr - Mar), 2017",Department of Health and Family Welfare,Payments to contractual staff,Cash,280514309
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Post Doctoral Fellowship for Women,Cash,768303
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",Department of Health and Family Welfare,Payments to contractual staff,Cash,232627760
India,Bihar,"Financial Year (Apr - Mar), 2019",Department of Social Justice and Empowerment,Central Sector Scheme of National Fellowship for OBC Students,Cash,6637498
India,Assam,"Financial Year (Apr - Mar), 2019",Ministry of Labour and Employment,Employees Pension Scheme for EPF Pensioners,Cash,42255506
India,Bihar,"Financial Year (Apr - Mar), 2019",Ministry of New and Renewable Energy,Short Term Training Programme component of HRD Programme,In Kind,10733802
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,ASHA incentives,Cash,2401283919
India,Delhi,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Swami Vivekananda Single Girl Child Fellowship for Research in Social Sciences,Cash,4822731
India,Delhi,"Financial Year (Apr - Mar), 2019",Department of Health Research,ICMR-Post Doctoral Fellowship,Cash,1905863
India,Delhi,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Pragati Scholarship for girls in Degree Colleges,Cash,50000
India,Delhi,"Financial Year (Apr - Mar), 2019",Ministry of Women and Child Development,Mahila Shakti Kendra Scheme,Cash,5508000
India,Delhi,"Financial Year (Apr - Mar), 2019",Ministry of AYUSH,Rashtriya Ayurveda Vidyapeeth,Cash,2192334
India,Chandigarh,"Financial Year (Apr - Mar), 2017",Department of Health and Family Welfare,Janani Suraksha Yojana,Cash,89300
India,Bihar,"Financial Year (Apr - Mar), 2019",Ministry of Minority Affairs,Merit-cum- Means based Scholarship for professional and Technical course for minorities,Cash,203607251
India,Bihar,"Financial Year (Apr - Mar), 2018",Department of Rural Development,Pradhan Mantri Awas Yojna Grameen,Cash,54632540000
India,Assam,"Financial Year (Apr - Mar), 2019",Department of Health Research,ICMR-Junior Research Fellowship,Cash,192662
India,Bihar,"Financial Year (Apr - Mar), 2019",Department of Rural Development ,National Family Benefit Scheme,Cash,90420000
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",Ministry of Housing and Urban Affairs,STATE AND UT GRANTS UNDER PMAY URBAN,Cash and In Kind,5634210897
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",Department of Rural Development,Indira Gandhi National Old Age Pension Scheme- IGNOAPS,Cash,1598685450
India,Delhi,"Financial Year (Apr - Mar), 2019",Ministry of Tribal Affairs,National Fellowship and Scholarship for higher education for ST students (for SCHOLARSHIP),Cash,494000
India,Bihar,"Financial Year (Apr - Mar), 2019",Ministry of Tribal Affairs,National Fellowship and Scholarship for Higher education for ST students (for FELLOWSHIP),Cash,1258432
India,Bihar,"Financial Year (Apr - Mar), 2019",Ministry of Petroleum and Natural Gas,Pradhan Mantri Ujjwala Yojana,In Kind,1079419200
India,Bihar,"Financial Year (Apr - Mar), 2017",Ministry of Minority Affairs,Pre- Matric Scholarship for Minorities,Cash,307249588
India,Bihar,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Saksham scholarship for differently abled students of Diploma Institutes,Cash,60180
India,Bihar,"Financial Year (Apr - Mar), 2018",Ministry of Housing and Urban Affairs,STATE AND UT GRANTS UNDER PMAY URBAN,Cash and In Kind,3879800000
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",Ministry of Women and Child Development,Pradhan Mantri Matru Vandana Yojana,Cash,446010000
India,Assam,"Financial Year (Apr - Mar), 2019",Ministry of Housing and Urban Affairs,Swachh Bharat Mission Urban,Cash,113700
India,Delhi,"Financial Year (Apr - Mar), 2019",Department of Empowerment of Persons with Disabilities,Post-matric Scholarship for Persons with Disabilities,Cash,3194771
India,Haryana,"Financial Year (Apr - Mar), 2019",Department of Youth Affairs,National Youth Corps,Cash,7490060
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Dr D S Kothari Post Doctoral Fellowship,Cash,26509927
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Ministry of Minority Affairs,Pre- Matric Scholarship for Minorities,Cash,587225102
India,Haryana,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (AB-PMJAY),In Kind,1232422857
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",Ministry of Labour and Employment,Pradhan Mantri Rojgar Protshan Yojana (PMRPY),Cash,929316141
India,Haryana,"Financial Year (Apr - Mar), 2019",Department of Promotion of Industry and Internal Trade,Primary Skill Development programme under IFLADP,Cash,5703000
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2017",Ministry of Women and Child Development,Umbrella ICDS-Anganwadi Services- Honorarium To AWW And AWH,Cash,5329816155
India,Assam,"Financial Year (Apr - Mar), 2019",Ministry of Development of North Eastern Region,Scheme of North Eastern Council of Financial Support to the Student of North East Region,Cash,15877400
India,Chandigarh,"Financial Year (Apr - Mar), 2018",Department of Health and Family Welfare,NIKSHAY - DOT Provider Honorarium,Cash,9000
India,Chhattisgarh,"Financial Year (Apr - Mar), 2017",Ministry of Petroleum and Natural Gas,PAHAL,Cash,3432550000
India,Bihar,"Financial Year (Apr - Mar), 2018",Ministry of Women and Child Development,Pradhan Mantri Matru Vandana Yojana,Cash,572971000
India,Bihar,"Financial Year (Apr - Mar), 2019",Department of Health Research,ICMR-Short Term Studentship,Cash,30000
India,Delhi,"Financial Year (Apr - Mar), 2018",Department of Youth Affairs,Assistance to Scouting and Guiding Organizations,In Kind,3451000
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",Department of Empowerment of Persons with Disabilities,Post-matric Scholarship for Persons with Disabilities,Cash,358817
India,Goa,"Financial Year (Apr - Mar), 2019",Department of Rural Development ,Pradhan Mantri Awas Yojna Grameen,Cash,9350000
India,Goa,"Financial Year (Apr - Mar), 2017",Ministry of Women and Child Development,Umbrella ICDS-Anganwadi Services- Honorarium To AWW And AWH,Cash,59965250
India,Bihar,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Saksham scholarship for differently abled students of Degree Colleges,Cash,40000
India,Assam,"Financial Year (Apr - Mar), 2019",Department of Rural Development ,Pradhan Mantri Awas Yojna Grameen,Cash,21419745750
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Department of Youth Affairs,IC-International Youth Exchange Programmes,Cash and In Kind,173956
India,Delhi,"Financial Year (Apr - Mar), 2018",Department of Youth Affairs,NATIONAL YOUTH CORPS,Cash,661026
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",Department of Fertilizers,Fertilizer Subsidy Scheme,In Kind,9149126702
India,Goa,"Financial Year (Apr - Mar), 2018","Department of Agriculture, Cooperation and Farmers Welfare",Sub Mission on Agriculture Mechanization-Centrally Sponsored,Cash,28100000
India,Bihar,"Financial Year (Apr - Mar), 2019","Ministry of Micro, Small and Medium Enterprises",Credit Guarantee Scheme,Cash,105828719
India,Bihar,"Financial Year (Apr - Mar), 2019",Ministry of Information and Broadcasting,Scholarship Scheme Of Satyajit Ray Film And Television Institute Kolkata,Cash,30250
India,Goa,"Financial Year (Apr - Mar), 2017",Ministry of Women and Child Development,Umbrella ICDS-Anganwadi Services-Supplementary Nutrition,In Kind,30997926
India,Assam,"Financial Year (Apr - Mar), 2019",Department of Financial Services,Atal Pension Yojana,Cash,28179359
India,Goa,"Financial Year (Apr - Mar), 2018",Department of Youth Affairs,Assistance to Scouting and Guiding Organizations,In Kind,3451068
India,Chandigarh,"Financial Year (Apr - Mar), 2019",Department of Food and Public Distribution,Direct Cash Transfer for food grains,Cash,416577377.36
India,Goa,"Financial Year (Apr - Mar), 2018",Department of Higher Education,P.G. Scholarship For GATE/GPAT Qualified Students For Pursuing M.Tech/ M.E./M.Pharma - AICTE,Cash,14897693
India,Delhi,"Financial Year (Apr - Mar), 2019",Department of Youth Affairs,National Youth Corps,Cash,3644421
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Department of Empowerment of Persons with Disabilities,Post-matric Scholarship for Persons with Disabilities,Cash,2188337
India,Assam,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,NIKSHAY - TB patient incentive for nutritional support,Cash and In Kind,99171000
India,Chandigarh,"Financial Year (Apr - Mar), 2018",Department of Health and Family Welfare,ASHA incentives,Cash,9800
India,Goa,"Financial Year (Apr - Mar), 2018",Ministry of Housing and Urban Affairs,STATE AND UT GRANTS UNDER PMAY URBAN,Cash and In Kind,140000
India,Goa,"Financial Year (Apr - Mar), 2018",Ministry of Minority Affairs,Merit-cum- Means based Scholarship for professional and Technical course for minorities,Cash,2065500
India,Bihar,"Financial Year (Apr - Mar), 2019",Department of Animal Husbandry and Dairying,National Livestock Mission - Entrepreneurship Development and Employment Generation,Cash,65872900
India,Goa,"Financial Year (Apr - Mar), 2019",Ministry of Electronics and Information Technology (MeitY),Visvesvaraya PhD Scheme for Electronics and IT,Cash,3548376
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Ministry of AYUSH,Rashtriya Ayurveda Vidyapeeth,Cash,523857
India,Haryana,"Financial Year (Apr - Mar), 2019","Ministry of Micro, Small and Medium Enterprises",Lean Manufacturing Competitiveness Scheme for MSMEs,In Kind,410000
India,West Bengal,"Financial Year (Apr - Mar), 2018",Department of Youth Affairs,NATIONAL YOUTH CORPS,Cash,17656276
India,Tripura,"Financial Year (Apr - Mar), 2019",Department of Rural Development ,Pradhan Mantri Awas Yojna Grameen,Cash,2048763160
India,Haryana,"Financial Year (Apr - Mar), 2018",Ministry of Minority Affairs,Post-Matric Scholarship for Minorities,Cash,22894122
India,Uttarakhand,"Financial Year (Apr - Mar), 2019",Department of Youth Affairs,Youth Hostels,Cash,180000
India,Meghalaya,"Financial Year (Apr - Mar), 2017",Department of Health and Family Welfare,Payments to contractual staff,Cash,5009032
