Country,State,Year,Ministry Or Department Name,Direct Benefit Transfer (Dbt) Scheme Name,Direct Benefit Transfer (Dbt) Scheme Benefit Type,Direct Benefit Transfer (Dbt) Fund Transferred (UOM:INR(IndianRupees))
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019","Ministry of Micro, Small and Medium Enterprises",Credit Guarantee Scheme,Cash,10700000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",Ministry of Petroleum and Natural Gas,PRADHAN MANTRI UJJWALA YOJANA,In Kind,420086400
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Department of Promotion of Industry and Internal Trade,Scheme for Salt Workers,Cash,75000
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,Payments to contractual staff,Cash,460434788
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Department of Financial Services,Atal Pension Yojana,Cash,72042379
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2016",Deparment of Rural Development,MGNREGA,Cash,25317788594
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Department of Higher Education,BSR Fellowship,Cash,78178849
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Ministry of Labour and Employment,Employees Pension Scheme for EPF Pensioners,Cash,361263359
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Dr D S Kothari Post Doctoral Fellowship,Cash,858866
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",Department of Heavy Industry,Demand Incentive Delivery Mechanism under FAME India Scheme,In Kind,26629600
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2017",Department of Empowerment of Persons with Disabilities,"Assistance to Disabled Persons for Purchase, Fitting of Aids, Appliances",In Kind,6592195
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Department of Health Research,ICMR-Junior Research Fellowship,Cash,1627629
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2019",Ministry of Tribal Affairs,National Fellowship and Scholarship for higher education for ST students (for SCHOLARSHIP),Cash,17100
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2018",Ministry of Tribal Affairs,National Fellowship and Scholarship for higher education for ST students (for SCHOLARSHIP),Cash,52800
India,Assam,"Financial Year (Apr - Mar), 2018","Department of Agriculture, Cooperation and Farmers Welfare",Mission for Integrated Development of Horticulture,Cash,23625735
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2019",Department of Science and Technology,Alliance and R and D Mission - INSPIRE Fellowship,Cash,5277776
India,Assam,"Financial Year (Apr - Mar), 2018",Department of Higher Education,Prime Minster's Special Scholarship Scheme For Jammu And Kashmir Students,Cash,675000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",Ministry of Minority Affairs,Merit-cum- Means based Scholarship for professional and Technical course for minorities,Cash,53321596
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Ministry of New and Renewable Energy,Short Term Training Programme component of HRD Programme,In Kind,4980913
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Department of Empowerment of Persons with Disabilities,National Fellowship for Students with Disabilities,Cash,36547628
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2018",Ministry of Petroleum and Natural Gas,PRADHAN MANTRI UJJWALA YOJANA,In Kind,9884800
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018","Ministry of Micro, Small and Medium Enterprises",Coir Udyami Yojana,Cash,34320000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2019",Department of Drinking Water and Sanitation,Swachh Bharat Mission Gramin,Cash and In Kind,45140000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",Ministry of Minority Affairs,Pre- Matric Scholarship for Minorities,Cash,355543927
India,Assam,"Financial Year (Apr - Mar), 2017",Department of Health and Family Welfare,ASHA incentives,Cash,147818570
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2018",Ministry of Tribal Affairs,National Fellowship and Scholarship for higher education for ST students (for SCHOLARSHIP),Cash,3669790
India,Assam,"Financial Year (Apr - Mar), 2018",Department of Heavy Industry,Demand Incentive Delivery Mechanism under FAME India Scheme,In Kind,4342700
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,Payments to contractual staff,Cash,167250821
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,Payments to contractual staff,Cash,19096057727
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Department of Higher Education,"Junior Research Fellowship in Science, Humanities and Social Sciences",Cash,494772499
India,Assam,"Financial Year (Apr - Mar), 2018",Department of Higher Education,P.G. Scholarship for GATE/GPAT qualified students for pursuing M.Tech/ M.E./M.Pharma- UGC,Cash,13238587
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2017","Department of Agriculture, Cooperation and Farmers Welfare",Mission for Integrated Development of Horticulture,Cash,324279909
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Post-Doctoral Fellowship for SC/ST Candidates,Cash,53703343
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",Ministry of Labour and Employment,"Financial Assistance for Education for the Wards of Beedi, Cine, IOMC, LSDM Workers",Cash,1280760
India,Assam,"Financial Year (Apr - Mar), 2018",Department of Rural Development,Pradhan Mantri Awas Yojna Grameen,Cash,11594830000
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2019",Ministry of Women and Child Development,Pradhan Mantri Matru Vandana Yojana,Cash,33043000
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2016",Ministry of Petroleum and Natural Gas,PAHAL,Cash,120210000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",Ministry of Women and Child Development,Pradhan Mantri Matru Vandana Yojana,Cash,1460641000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2017",Ministry of Labour and Employment,Scholarship To The Children of Beedi Workers,Cash,2081270
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,NIKSHAY - DOT Provider Honorarium,Cash,465500
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",Department of Rural Development,Indira Gandhi National Old Age Pension Scheme- IGNOAPS,Cash,1639200
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2019",Ministry of Petroleum and Natural Gas,PAHAL,Cash,138800000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2017",Department of Empowerment of Persons with Disabilities,Pre-matric scholarship for Persons with disabilities,Cash,278300
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Department of Higher Education,P. G. Scholarship for Professional Courses for SC/ST candidates,Cash,285298
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",Department of Higher Education,Pragati Scholarship for girls in Degree Colleges,Cash,5308400
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2018",Ministry of Petroleum and Natural Gas,PAHAL,Cash,260130000
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2019",Department of Social Justice and Empowerment,Central Sector Scheme of National Fellowship for OBC Students,Cash,547400
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Saksham scholarship for differently abled students of Degree Colleges,Cash,80000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Dr D S Kothari Post Doctoral Fellowship,Cash,33038243
