Country,State,Year,New Lives Covered Under Aam Aadmi Bima Yojana (Aaby) (UOM:Number),"Claims Setteled Under Aam Aadmi Bima Yojana (Aaby) Claims Settled Includes Death, Accident And Disability Claims (UOM:Number)","Amount Of Claims Setteled Under Aam Aadmi Bima Yojana (Aaby) , Claims Settled Includes Death, Accident And Disability Claims (UOM:INR(IndianRupees))",Scholarships Paid Under Aam Aadmi Bima Yojana (Aaby) (UOM:Number),Amount Of Scholarships Paid Under Aam Aadmi Bima Yojana (Aaby) (UOM:INR(IndianRupees))
India,Bihar,"Calendar Year (Jan - Dec), 2014",305750,461,15585,8491,5094600
India,Bihar,"Calendar Year (Jan - Dec), 2015",57089,198,6030,3573,2143800
India,Chandigarh,"Calendar Year (Jan - Dec), 2013",122.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
India,Chandigarh,"Calendar Year (Jan - Dec), 2014",16430,0,0,0,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2015",0,0,0,0,0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2013",543547.00000000000000000000,2638.00000000000000000000,64160.00000000000000000000,130061.00000000000000000000,32479203.00000000000000000000
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2014",1032398,702,19606,33715,20229000
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2015",5271,4225,88249,13915,7395000
India,Delhi,"Calendar Year (Jan - Dec), 2013",2989.00000000000000000000,32.00000000000000000000,1530.00000000000000000000,299.00000000000000000000,179.00000000000000000000
India,Delhi,"Calendar Year (Jan - Dec), 2014",31291,33,1755,20,12000
India,Delhi,"Calendar Year (Jan - Dec), 2015",16745,24,1170,260,156000
India,Goa,"Calendar Year (Jan - Dec), 2013",218.00000000000000000000,54.00000000000000000000,1980.00000000000000000000,534.00000000000000000000,920.00000000000000000000
India,Goa,"Calendar Year (Jan - Dec), 2014",45806,27,800,1025,615000
India,Goa,"Calendar Year (Jan - Dec), 2015",1216,24,830,508,304800
India,Gujarat,"Calendar Year (Jan - Dec), 2013",170431.00000000000000000000,3224.00000000000000000000,106515.00000000000000000000,79279.00000000000000000000,32478303.00000000000000000000
India,Gujarat,"Calendar Year (Jan - Dec), 2014",1093595,2074,69543.5,105301,63181000
India,Gujarat,"Calendar Year (Jan - Dec), 2015",23736,851,33392,127336,76401600
India,Haryana,"Calendar Year (Jan - Dec), 2013",6239.00000000000000000000,50.00000000000000000000,1580.00000000000000000000,4049.00000000000000000000,1041602.00000000000000000000
India,Haryana,"Calendar Year (Jan - Dec), 2014",58139,60,2080,3077,3483000
India,Haryana,"Calendar Year (Jan - Dec), 2015",49781,46,1875,2289,2605800
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2013",32089.00000000000000000000,52.00000000000000000000,2760.00000000000000000000,1879.00000000000000000000,1009067.00000000000000000000
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2014",43760,31,1520,2107,2100600
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2015",6971,11,400,919,509400
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",1342.97131581712967282251,306.15442232393414974031,9463.39947598742140171725,624.04639438552711672306,171571.67703193815123849296
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2014",98896.68157293397447905196,69.44716928114800201777,2386.63511332395950596280,2441.41034543303398642752,1464846.20725982039185651200
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2015",541.88354622191539602598,37.16890750258625460106,1266.67724252234736074665,2211.54999640388214876307,1326929.99784232928925784200
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",140282.00000000000000000000,126.00000000000000000000,3900.00000000000000000000,917.00000000000000000000,490859.00000000000000000000
India,Jharkhand,"Calendar Year (Jan - Dec), 2014",213176,89,3000,222,133200
India,Jharkhand,"Calendar Year (Jan - Dec), 2015",34668,89,2715,227,173700
India,Karnataka,"Calendar Year (Jan - Dec), 2013",502810.00000000000000000000,6287.00000000000000000000,220027.00000000000000000000,77325.00000000000000000000,5746689.00000000000000000000
India,Karnataka,"Calendar Year (Jan - Dec), 2014",3516205,2027,61415,78429,51826200
India,Karnataka,"Calendar Year (Jan - Dec), 2015",646455,1136,36330,18820,11276100
India,Kerala,"Calendar Year (Jan - Dec), 2013",167502.00000000000000000000,716.00000000000000000000,23675.00000000000000000000,83712.00000000000000000000,9381687.00000000000000000000
India,Kerala,"Calendar Year (Jan - Dec), 2014",1549399,546,18135,186089,111653400
India,Kerala,"Calendar Year (Jan - Dec), 2015",1019476,147,5190,47884,22692000
