Country,State,Year,Month,Name Of The Fertilizer Used,Required Fertilizer Quantity (UOM:MT(Metrictonne)),Available Fertilizer Quantity (UOM:MT(Metrictonne))
India,Rajasthan,"Financial Year (Apr - Mar), 2012","May, 2012",Monoammonium Phosphate,0.000,0.000
India,Chandigarh,"Financial Year (Apr - Mar), 2015","March, 2016",Muriate of Potash (MOP) or Potassium Chloride,0.000,0.000
India,Lakshadweep,"Financial Year (Apr - Mar), 2014","January, 2015",Muriate of Potash (MOP) or Potassium Chloride,0.000,0.000
India,Ladakh,"Financial Year (Apr - Mar), 2012","May, 2012",Diammonium Phosphate,70.833,142.394
India,Chandigarh,"Financial Year (Apr - Mar), 2015","September, 2015",Monoammonium Phosphate,0.000,0.000
India,Meghalaya,"Financial Year (Apr - Mar), 2013","November, 2013",Triple superphosphate,0.000,0.000
India,Ladakh,"Financial Year (Apr - Mar), 2015","March, 2016",Diammonium Phosphate,0.000,19.767
India,Odisha,"Financial Year (Apr - Mar), 2014","January, 2015",Single super Phosphate,8070.000,210.800
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2013","October, 2013",Monoammonium Phosphate,0.000,0.000
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2015","February, 2016",Monoammonium Phosphate,0.000,0.000
India,Puducherry,"Financial Year (Apr - Mar), 2013","April, 2013",Single super Phosphate,200.000,25.000
India,Lakshadweep,"Financial Year (Apr - Mar), 2015","January, 2016",Single super Phosphate,0.000,0.000
India,Haryana,"Financial Year (Apr - Mar), 2015","August, 2015",Triple superphosphate,0.000,0.000
India,Haryana,"Financial Year (Apr - Mar), 2015","October, 2015",UREA,0.000,2772.950
India,Rajasthan,"Financial Year (Apr - Mar), 2015","August, 2015",Muriate of Potash (MOP) or Potassium Chloride,0.000,5645.950
India,Odisha,"Financial Year (Apr - Mar), 2013","April, 2013",Triple superphosphate,0.000,0.000
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2012","July, 2012",UREA,22031.000,30128.550
India,Ladakh,"Financial Year (Apr - Mar), 2012","October, 2012",UREA,304.264,65.314
India,Kerala,"Financial Year (Apr - Mar), 2014","July, 2014",Muriate of Potash (MOP) or Potassium Chloride,0.000,38.750
India,Chhattisgarh,"Financial Year (Apr - Mar), 2014","April, 2014",Muriate of Potash (MOP) or Potassium Chloride,0.000,15029.650
India,Bihar,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",0.000,62458.850
India,Meghalaya,"Financial Year (Apr - Mar), 2013","February, 2014",Triple superphosphate,0.000,0.000
India,Bihar,"Financial Year (Apr - Mar), 2016","December, 2016",UREA,0.000,11647.350
India,Odisha,"Financial Year (Apr - Mar), 2013","April, 2013",Muriate of Potash (MOP) or Potassium Chloride,14910.000,12000.900
India,Lakshadweep,"Financial Year (Apr - Mar), 2012","August, 2012",Diammonium Phosphate,0.000,0.000
India,Chandigarh,"Financial Year (Apr - Mar), 2013","March, 2014",Triple superphosphate,0.000,0.000
India,Goa,"Financial Year (Apr - Mar), 2014","January, 2015",Triple superphosphate,0.000,0.000
India,Tamil Nadu,"Financial Year (Apr - Mar), 2013","March, 2014",UREA,146000.000,14009.550
India,Tripura,"Financial Year (Apr - Mar), 2014","July, 2014",Triple superphosphate,0.000,0.000
India,Tripura,"Financial Year (Apr - Mar), 2015","March, 2016",Muriate of Potash (MOP) or Potassium Chloride,0.000,5.650
India,Tripura,"Financial Year (Apr - Mar), 2013","November, 2013",Triple superphosphate,0.000,0.000
India,Tripura,"Financial Year (Apr - Mar), 2013","November, 2013",Diammonium Phosphate,300.000,0.000
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2013","January, 2014",Diammonium Phosphate,400000.000,161745.700
India,West Bengal,"Financial Year (Apr - Mar), 2013","October, 2013",Triple superphosphate,0.000,7377.550
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2013","August, 2013",Diammonium Phosphate,120.000,0.000
India,West Bengal,"Financial Year (Apr - Mar), 2012","June, 2012",Diammonium Phosphate,32450.000,17113.190
India,Tamil Nadu,"Financial Year (Apr - Mar), 2013","September, 2013",Single super Phosphate,7000.000,4448.050
India,Telangana,"Financial Year (Apr - Mar), 2015","September, 2015",Triple superphosphate,0.000,0.000
India,Tamil Nadu,"Financial Year (Apr - Mar), 2013","July, 2013",Single super Phosphate,6000.000,3489.050
India,Tripura,"Financial Year (Apr - Mar), 2013","October, 2013","nitrogen, phosphorus, and potassium",0.000,0.000
India,West Bengal,"Financial Year (Apr - Mar), 2014","October, 2014",Monoammonium Phosphate,0.000,0.000
India,Tamil Nadu,"Financial Year (Apr - Mar), 2015","November, 2015",Monoammonium Phosphate,0.000,0.000
India,Tamil Nadu,"Financial Year (Apr - Mar), 2015","November, 2015",UREA,0.000,92.700
India,Tamil Nadu,"Financial Year (Apr - Mar), 2014","June, 2014",Monoammonium Phosphate,0.000,0.000
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2012","October, 2012",Triple superphosphate,0.000,0.000
India,West Bengal,"Financial Year (Apr - Mar), 2014","October, 2014",Diammonium Phosphate,28500.000,7808.210
India,Tamil Nadu,"Financial Year (Apr - Mar), 2012","October, 2012",Monoammonium Phosphate,0.000,0.000
India,Uttarakhand,"Financial Year (Apr - Mar), 2014","July, 2014",Diammonium Phosphate,0.000,216.000
India,West Bengal,"Financial Year (Apr - Mar), 2016","January, 2017",Diammonium Phosphate,0.000,28413.310
India,Telangana,"Financial Year (Apr - Mar), 2012","August, 2012",Muriate of Potash (MOP) or Potassium Chloride,10.901,18361.615
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2013","August, 2013","nitrogen, phosphorus, and potassium",65000.000,22909.600
India,Telangana,"Financial Year (Apr - Mar), 2012","November, 2012","nitrogen, phosphorus, and potassium",95927.619,73127.447
India,Tripura,"Financial Year (Apr - Mar), 2013","September, 2013","nitrogen, phosphorus, and potassium",0.000,0.000
India,West Bengal,"Financial Year (Apr - Mar), 2015","December, 2015",Triple superphosphate,0.000,7377.550
India,West Bengal,"Financial Year (Apr - Mar), 2013","August, 2013","nitrogen, phosphorus, and potassium",58200.000,29962.550
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2012","August, 2012","nitrogen, phosphorus, and potassium",0.000,0.000
India,Tripura,"Financial Year (Apr - Mar), 2016","January, 2017",Muriate of Potash (MOP) or Potassium Chloride,0.000,79.050
India,Uttarakhand,"Financial Year (Apr - Mar), 2012","October, 2012",Diammonium Phosphate,2500.000,2691.850
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2012","June, 2012",Triple superphosphate,0.000,0.000
India,Uttarakhand,"Financial Year (Apr - Mar), 2013","January, 2014",Diammonium Phosphate,1500.000,3249.300
India,Tripura,"Financial Year (Apr - Mar), 2013","February, 2014",UREA,4420.000,0.000
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2015","February, 2016",Monoammonium Phosphate,0.000,0.000
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2014","October, 2014",Triple superphosphate,0.000,0.000
India,Tripura,"Financial Year (Apr - Mar), 2014","February, 2015",Monoammonium Phosphate,0.000,0.000
India,West Bengal,"Financial Year (Apr - Mar), 2015","August, 2015",Monoammonium Phosphate,0.000,0.000
India,Tamil Nadu,"Financial Year (Apr - Mar), 2013","November, 2013","nitrogen, phosphorus, and potassium",55570.000,9599.420
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2013","April, 2013",Single super Phosphate,50000.000,16339.950
India,Tripura,"Financial Year (Apr - Mar), 2014","November, 2014",UREA,0.000,1263.500
India,Telangana,"Financial Year (Apr - Mar), 2013","March, 2014",Diammonium Phosphate,54504.329,48157.038
India,West Bengal,"Financial Year (Apr - Mar), 2014","May, 2014",Diammonium Phosphate,37500.000,3779.280
India,Tripura,"Financial Year (Apr - Mar), 2015","February, 2016",Monoammonium Phosphate,0.000,0.000
India,Tamil Nadu,"Financial Year (Apr - Mar), 2015","December, 2015",Diammonium Phosphate,0.000,9873.000
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2014","March, 2015",Triple superphosphate,0.000,16125.250
India,West Bengal,"Financial Year (Apr - Mar), 2015","March, 2016",Single super Phosphate,60000.000,0.000
India,Uttarakhand,"Financial Year (Apr - Mar), 2012","November, 2012",UREA,25000.000,7972.600
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2012","August, 2012",Muriate of Potash (MOP) or Potassium Chloride,5.000,0.000
